STNAME,CBSAFP,CBSA,POPESTIMATE2019,area_km2,charging_locations,level2,dcfc,charging_locations_per_100kpeople,charging_locations_per_1000km2,level2_per_100kpeople,level2_per_1000km2,dcfc_per_100kpeople,dcfc_per_1000km2
Tennessee,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",1816385,11703.736485000001,172,443,62,9.469358093135542,14.696161368674217,24.389102530575844,37.851159804201615,3.413373266130253,5.297453516615126
Tennessee,35460,"Newport, TN",36004,1129.584564,1,2,0,2.7774691700922123,0.8852812191934308,5.554938340184425,1.7705624383868617,0,0
Tennessee,37540,"Paris, TN",32345,1455.320363,1,3,0,3.091667954861648,0.6871339296995737,9.275003864584944,2.061401789098721,0,0
Tennessee,42940,"Sevierville, TN",98250,1534.538395,25,54,0,25.44529262086514,16.291544142171823,54.961832061068705,35.18973534709113,0,0
Tennessee,43180,"Shelbyville, TN",49713,1226.719779,2,2,0,4.023092551244141,1.6303641909404643,4.023092551244141,1.6303641909404643,0,0
Tennessee,46100,"Tullahoma-Manchester, TN",98728,2547.145735,5,10,14,5.0644194149582695,1.9629815174277807,10.128838829916539,3.9259630348555614,14.180374361883155,5.496348248797786
Tennessee,NA,non-CBSA,1409133,59677.823992,6,11,0,0.4257937327420478,0.10053985883942951,0.780621843360421,0.18432307453895413,0,0
Texas,10180,"Abilene, TX",138034,2371.228266,3,6,0,2.173377573641277,1.265167104751441,4.346755147282554,2.530334209502882,0,0
Texas,11100,"Amarillo, TX",255128,4714.61527,6,12,11,2.3517606848327115,1.2726383079822332,4.703521369665423,2.5452766159644664,4.311561255526637,2.333170231300761
Texas,11980,"Athens, TX",82737,2263.013491,1,3,0,1.2086490929088558,0.44188866039773866,3.6259472787265676,1.3256659811932159,0,0
Texas,12420,"Austin-Round Rock-Georgetown, TX",2183419,9522.873233,328,970,92,15.022311338318481,34.443386147719394,44.425737799295504,101.86001391246285,4.2135751314795735,9.660949773140805
Texas,13060,"Bay City, TX",36643,2830.603629,2,5,0,5.458068389596922,0.7065630735118371,13.645170973992306,1.7664076837795928,0,0
