STNAME,CSAFP,CSA,POPESTIMATE2019,area_km2,charging_locations,level2,dcfc,charging_locations_per_100kpeople,charging_locations_per_1000km2,level2_per_100kpeople,level2_per_1000km2,dcfc_per_100kpeople,dcfc_per_1000km2
Texas,352,"Lubbock-Plainview-Levelland, TX",310569,2319.592469,6,8,1,1.931937830240623,2.586661269247292,2.575917106987497,3.4488816923297225,0.32198963837343714,0.4311102115412153
Texas,365,"McAllen-Edinburg, TX",868707,4068.395785,9,16,8,1.0360225024087524,2.212174153061168,1.8418177820600041,3.9327540498865203,0.9209088910300021,1.9663770249432602
Texas,372,"Midland-Odessa, TX",176832,2331.915364,4,2,12,2.262034020991676,1.7153281211453093,1.131017010495838,0.8576640605726547,6.7861020629750275,5.145984363435928
Texas,484,"San Antonio-New Braunfels-Pearsall, TX",2448223,12349.755184,102,236,43,4.1662871396927486,8.259273036614392,9.639644754583223,19.109690555303885,1.756375951046943,3.48185039778842
Texas,540,"Tyler-Jacksonville, TX",232751,2386.604273,6,9,8,2.5778621788950424,2.5140322037796,3.8667932683425636,3.7710483056694,3.437149571860057,3.3520429383728
Texas,544,"Victoria-Port Lavaca, TX",92084,2284.644911,3,4,6,3.2578949654663134,1.3131143424327092,4.343859953955085,1.750819123243612,6.515789930932627,2.6262286848654184
Texas,NA,non-CSA,7967544,576187.169879,435,1133,292,5.459649799235499,0.7549630098347218,14.2201913161697,1.966374919868367,3.6648683709810705,0.5067797675212384
Utah,482,"Salt Lake City-Provo-Orem, UT",2628924,58917.778369,288,950,92,10.955052333197917,4.888168019443401,36.13645734909035,16.124165341913997,3.4995306064382232,1.5614981173221976
Utah,NA,non-CSA,577034,154437.357297,77,155,76,13.344101040839881,0.49858403010562097,26.861502095197164,1.003643177485341,13.170801027322481,0.4921089128315221
Vermont,162,"Burlington-South Burlington-Barre, VT",271585,4811.552144,103,210,31,37.92551135003774,21.406813626334877,77.32385809230995,43.644959820682764,11.414474289817186,6.4428274021007885
Vermont,NA,non-CSA,352404,19062.64578,123,335,22,34.90312255252494,6.452409671749145,95.06135004142972,17.57363609785336,6.242834928093892,1.1540895347843998
Virginia,277,"Harrisonburg-Staunton, VA",258084,4840.925757,22,41,12,8.524356411090961,4.5445852930481125,15.886300584305884,8.469454409771481,4.649648951504162,2.47886470529897
Virginia,304,"Johnson City-Kingsport-Bristol, TN-VA",53740,1453.39974,3,3,4,5.582433941198363,2.0641258680836145,5.582433941198363,2.0641258680836145,7.443245254931149,2.752167824111486
Virginia,545,"Virginia Beach-Norfolk, VA-NC",1634658,4560.9858730000005,103,225,39,6.301012199493717,22.582836883958922,13.764347037728992,49.3314397950559,2.3858201532063585,8.55078289780969
Virginia,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",3142161,11421.265283,335,772,223,10.661452420802117,29.331251109159616,24.569078414505174,67.59321151125738,7.0970265368324545,19.524982081619687
Virginia,NA,non-CSA,3446876,79981.729632,185,372,149,5.367178859929978,2.3130282484661735,10.792381275102441,4.651062207726576,4.322754865565225,1.8629254541700533
Washington,313,"Kennewick-Richland-Walla Walla, WA",360372,10908.31787,36,57,25,9.989677333422131,3.300233860896831,15.816989111251708,5.225370279753316,6.93727592598759,2.2918290700672435
Washington,393,"Moses Lake-Othello, WA",117716,11925.573041,14,13,24,11.893030684019164,1.1739477802758944,11.04352849230351,1.090094367399045,20.388052601175712,2.012481909044391
Washington,440,"Portland-Vancouver-Salem, OR-WA",610917,8878.321230000001,52,108,57,8.511794564564417,5.856963118690851,17.67834255717225,12.164461861896383,9.330236349618689,6.420132649334202
Washington,446,"Pullman-Moscow, WA-ID",50104,5592.461103,9,18,4,17.962637713555804,1.6093093602693225,35.92527542711161,3.218618720538645,7.983394539358135,0.7152486045641434
Washington,500,"Seattle-Tacoma, WA",4903675,31827.183079,726,1896,323,14.805222613652006,22.81068978671331,38.66487889185152,59.5717187818298,6.586896562272173,10.148557577284297
Washington,518,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",568521,10984.8881,68,153,28,11.960859845106864,6.190322503148667,26.911934651490444,13.9282256320845,4.925059936220474,2.5489563248259217
Washington,NA,non-CSA,1003588,92001.209844,140,229,100,13.94994758805406,1.5217191191005879,22.818128554745574,2.4890977019573897,9.964248277181474,1.0869422279289913
West Virginia,170,"Charleston-Huntington-Ashland, WV-OH-KY",358538,5133.614733,14,21,16,3.9047464982791222,2.7271232315126674,5.857119747418683,4.090684847269001,4.462567426604711,3.1167122645859053
West Virginia,390,"Morgantown-Fairmont, WV",105612,932.631311,5,5,10,4.734310495019506,5.361175355177412,4.734310495019506,5.361175355177412,9.468620990039012,10.722350710354824
West Virginia,425,"Parkersburg-Marietta-Vienna, WV-OH",83518,949.251416,4,9,6,4.789386719030628,4.213846756063201,10.776120117818914,9.481155201142201,7.184080078545942,6.320770134094802
West Virginia,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",217376,3625.772906,21,66,8,9.660680111879875,5.791868532430365,30.362137494479608,18.20301538763829,3.6802590902399532,2.2064261075925202
West Virginia,NA,non-CSA,1027103,51624.961194,36,64,20,3.505003879844572,0.6973370859247062,6.231118008612573,1.2397103749772553,1.9472243776914293,0.3874094921803923
Wisconsin,118,"Appleton-Oshkosh-Neenah, WI",409881,3601.524459,17,26,8,4.147545263137349,4.720223392490918,6.343304520092417,7.219165188515523,1.9517860061822823,2.2212815964663144
Wisconsin,176,"Chicago-Naperville, IL-IN-WI",169561,704.075246,6,11,9,3.538549548540053,8.521816430967094,6.487340838990098,15.623330123439676,5.30782432281008,12.782724646450644
Wisconsin,232,"Eau Claire-Menomonie, WI",150014,3854.116561,6,7,11,3.9996267015078595,1.5567769954635786,4.6662311517591695,1.8162398280408416,7.3326489527644085,2.854091158349894
Wisconsin,267,"Green Bay-Shawano, WI",264542,1372.93317,9,15,8,3.4021062818002434,6.555308150942263,5.670177136333739,10.925513584903772,3.0240944727113277,5.8269405786153445
Wisconsin,357,"Madison-Janesville-Beloit, WI",811451,8625.221986999999,88,159,32,10.844770663909467,10.202635959124795,19.594528813200057,18.434308153418662,3.9435529686943513,3.710049439681743
Wisconsin,376,"Milwaukee-Racine-Waukesha, WI",2047966,9777.365678,74,160,39,3.6133412371103817,7.56850080451701,7.812629701860285,16.364326063820563,1.9043284898284445,3.9888044780562617
Wisconsin,378,"Minneapolis-St. Paul, MN-WI",90687,1871.147432,1,2,0,1.1026938811516536,0.5344314311626087,2.205387762303307,1.0688628623252174,0,0
Wisconsin,554,"Wausau-Stevens Point-Wisconsin Rapids, WI",279463,8130.152263,8,17,10,2.862632978247568,0.9839914113795485,6.083095078776081,2.0909817491815406,3.5782912228094594,1.2299892642244357
Wisconsin,NA,non-CSA,1598869,102356.483282,39,71,25,2.439224226625196,0.3810212968391264,4.440638976676638,0.6936541557840507,1.5636052734776897,0.24424442105072203
Wyoming,NA,non-CSA,578759,251458.57821100001,54,87,75,9.33030847036504,0.21474709824648877,15.032163646699232,0.34598143606378745,12.95876176439589,0.29825985867567884
